,Gender,Age,EstimatedSalary
117,Male,36,52000
129,Female,26,84000
11,Female,26,52000
277,Male,49,88000
200,Male,35,39000
176,Female,35,47000
50,Female,24,32000
219,Male,59,143000
206,Female,55,130000
22,Male,48,41000
299,Male,46,117000
391,Male,47,23000
236,Male,40,57000
238,Female,46,82000
40,Female,27,17000
374,Female,37,80000
106,Female,26,35000
34,Male,27,90000
281,Male,35,61000
9,Female,35,65000
272,Male,60,42000
115,Male,40,57000
395,Female,46,41000
23,Female,45,22000
24,Male,46,23000
324,Female,48,131000
136,Female,20,82000
69,Female,31,68000
279,Female,50,36000
17,Male,45,26000
322,Male,41,52000
13,Male,32,18000
74,Male,32,18000
270,Female,43,133000
104,Female,19,21000
376,Female,46,74000
237,Female,37,80000
57,Male,28,79000
81,Male,39,42000
7,Female,32,150000
289,Female,37,78000
314,Female,39,79000
30,Male,31,74000
116,Male,35,75000
218,Female,46,96000
19,Female,48,29000
244,Female,41,72000
100,Male,27,88000
311,Male,39,96000
179,Female,31,34000
196,Female,30,79000
190,Male,24,84000
131,Male,33,31000
215,Female,60,108000
384,Female,57,33000
349,Male,38,61000
36,Female,33,28000
332,Male,42,65000
338,Female,38,55000
319,Male,36,60000
177,Male,25,22000
155,Female,31,15000
91,Female,30,116000
145,Female,24,89000
113,Male,37,55000
217,Male,40,78000
274,Female,57,26000
399,Female,49,36000
49,Female,31,89000
398,Male,36,33000
146,Female,27,96000
243,Female,56,104000
39,Female,27,31000
197,Female,20,36000
226,Female,36,126000
242,Female,50,88000
103,Female,33,149000
105,Male,21,72000
227,Male,56,133000
250,Female,44,39000
354,Male,36,99000
341,Male,35,75000
33,Female,28,44000
345,Female,41,63000
256,Female,41,72000
3,Female,27,57000
165,Female,18,86000
278,Female,52,38000
178,Male,24,23000
305,Male,42,54000
284,Male,48,141000
308,Male,36,125000
53,Female,35,23000
275,Male,57,74000
12,Male,20,86000
76,Male,18,52000
58,Male,22,18000
225,Male,37,53000
385,Male,56,60000
247,Female,57,122000
173,Female,34,43000
160,Male,32,100000
108,Male,26,86000
240,Male,42,149000
211,Male,52,150000
232,Male,40,107000
201,Male,49,74000
267,Male,37,74000
212,Female,59,42000
304,Female,40,60000
124,Female,41,51000
172,Female,26,118000
31,Female,27,137000
71,Female,24,27000
157,Male,29,75000
397,Female,50,20000
223,Male,60,102000
269,Male,40,61000
251,Male,37,52000
280,Female,59,88000
88,Male,26,81000
152,Male,31,76000
142,Male,35,59000
362,Female,47,50000
245,Female,51,146000
107,Male,27,89000
224,Female,35,60000
186,Female,20,82000
369,Female,54,26000
367,Male,46,88000
66,Male,24,19000
235,Male,46,79000
294,Female,35,57000
18,Male,46,28000
133,Female,21,68000
358,Male,40,71000
167,Female,35,71000
352,Female,42,90000
120,Female,36,75000
4,Male,19,76000
297,Female,43,112000
154,Male,40,47000
80,Male,30,80000
29,Male,31,18000
309,Female,38,50000
263,Female,35,72000
73,Female,33,113000
8,Male,25,33000
128,Male,30,17000
68,Female,22,63000
340,Female,53,104000
192,Male,29,43000
239,Female,53,143000
182,Female,32,117000
95,Female,35,44000
92,Male,26,15000
208,Female,40,142000
181,Female,31,71000
127,Male,26,32000
171,Male,34,115000
75,Male,34,112000
355,Male,60,34000
83,Male,35,88000
72,Female,20,23000
282,Male,37,70000
310,Female,42,70000
261,Male,36,144000
221,Male,35,91000
194,Male,28,89000
231,Male,39,42000
41,Female,33,51000
90,Male,22,81000
233,Male,49,86000
112,Male,38,61000
191,Female,19,26000
252,Female,48,134000
14,Male,18,82000
141,Female,18,68000
89,Male,35,50000
93,Female,29,28000
328,Male,36,118000
229,Female,42,80000
180,Male,26,16000
21,Female,47,49000
271,Female,59,76000
153,Female,36,50000
386,Female,49,39000
54,Female,27,58000
168,Male,29,148000
161,Male,25,90000
164,Female,33,69000
286,Female,37,62000
132,Male,30,87000
38,Female,26,72000
169,Female,29,47000
148,Male,29,61000
360,Male,43,129000
